StationDesc,StationAlias,StationLatitude,StationLongitude,StationCode,StationId
Gorey,,52.6712,-6.29195,GOREY,145
Limerick,,52.6587,-8.62397,LMRCK,40
Kilkenny,,52.655,-7.24498,KKNNY,48
Thomastown,,52.523,-7.14891,THTWN,49
Enniscorthy,,52.5046,-6.56627,ECRTY,147
Limerick Junction,,52.5009,-8.20003,LMRKJ,16
Tipperary,,52.4701,-8.1625,TIPRY,41
Cahir,,52.3777,-7.92181,CAHIR,42
Clonmel,,52.3611,-7.69936,CLMEL,43
Carrick on Suir,,52.3487,-7.40354,CKOSR,44
Charleville,,52.3468,-8.65362,CVILL,19
Wexford,,52.3434,-6.4636,WXFRD,148
Campile,,52.2855,-6.93896,CPILE,52
Ballycullane,,52.2834,-6.83958,BCLAN,53
Rosslare Strand,,52.2726,-6.39254,RLSTD,58
Tralee,,52.271,-9.69846,TRLEE,28
Wellingtonbridge,,52.2678,-6.75392,WBDGE,54
Waterford,,52.2667,-7.1183,WFORD,50
Rosslare Europort,Rosslare Harbour,52.2531,-6.33493,RLEPT,60
Bridgetown,,52.2312,-6.54918,BRGTN,56
Farranfore,,52.1733,-9.55278,FFORE,27
Mallow,,52.1396,-8.65521,MLLOW,21
Banteer,,52.1287,-8.89793,BTEER,23
Rathmore,,52.0854,-9.21756,RMORE,25
Millstreet,,52.0776,-9.06973,MLSRT,24
Killarney,,52.0595,-9.50198,KLRNY,26
Midleton,,51.9212,-8.17579,MDLTN,68
Carrigtwohill,,51.9163,-8.26323,CGTWL,67
Glounthaune,,51.9112,-8.3254,GHANE,380
LittleIsland,Little Island,51.9078,-8.35466,LSLND,61
Cork,,51.9018,-8.4582,CORK,30
Fota,,51.896,-8.3183,FOTA,63
Carrigaloe,,51.8688,-8.32417,CGLOE,64
Rushbrooke,,51.8496,-8.32252,RBROK,65
Cobh,,51.8491,-8.29956,COBH,66
