AtcoCode,PlateCode,CommonName,CommonNameGA,ShortCommonName,ShortCommonNameGA,Street,NptgLocalityRef,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,isActive
851000016,,Hawthorn Court,Cúirt na Sceiche,Hawthorn Court,Cúirt na Sceiche,,E0851063,568281,826002,54.1819875,-8.4859107,BCT,CUS,OTH,N,851G000123,851,TRUE
8510B5533901,553391,Bunninadden,Bun an Fheadáin,Bunninadden,Bun an Fheadáin,,E0851021,560406,811656,54.0525380,-8.6046639,BCT,CUS,OTH,N,851G000131,851,TRUE
8510B554641,554641,Keash,An Chéis,Keash,An Chéis,,E0851772,570815,810800,54.0455404,-8.4456257,BCT,CUS,OTH,SE,851G000132,851,TRUE
8510B5546601,554661,Keash,An Chéis,Keash,An Chéis,,E0851772,570814,810763,54.0452078,-8.4456374,BCT,MKD,OTH,NW,851G000132,851,TRUE
851000030,,Ballyconnell,,,,,E0851168,558891,846030,54.3612727,-8.6324992,BCT,MKD,OTH,N,851G000133,851,TRUE
8510B554231,554231,Culfadda,Coill Fhada,Culfadda,Coill Fhada,,E0851019,568591,808851,54.0278969,-8.4793811,BCT,MKD,OTH,S,851G000134,851,TRUE
8510B5542101,554211,Culfadda,Coill Fhada,Culfadda,Coill Fhada,,E0851019,568592,808848,54.0278700,-8.4793656,BCT,CUS,OTH,N,851G000134,851,TRUE
8510B5564001,556401,Cloonacol,Cluain na Cúile,Cloonacol,Cluain na Cúile,,E0851062,549158,817159,54.1009963,-8.7773466,BCT,CUS,OTH,N,851G000139,851,TRUE
851000042,,Ballyscannell,,,,,E0851200,562352,848234,54.3813428,-8.5795305,BCT,MKD,OTH,N,851G000141,851,TRUE
8510B556151,556151,Tourlestrane,Tuar Loistreáin,Tourlestrane,Tuar Loistreáin,,E0851026,544791,810239,54.0383713,-8.8428478,BCT,MKD,OTH,NW,851G000151,851,TRUE
851000074,,Leekfield,,,,,E0851887,553317,833210,54.2456081,-8.7162508,BCT,MKD,OTH,N,851G000157,851,TRUE
851000075,,Leekfield,,,,,E0851887,553311,833234,54.2458232,-8.7163466,BCT,MKD,OTH,N,851G000157,851,TRUE
8510B5518501,551851,Cemetery Road,Bothar Reilig,Cemetery Road,Bothar Reilig,,E0851532,569751,834772,54.2608774,-8.4642755,BCT,MKD,OTH,SW,,851,TRUE
8510B5563001,556301,Drumfin,Droim Fionn,Drumfin,Droim Fionn,,E0851039,570736,820833,54.1356877,-8.4478016,BCT,CUS,OTH,N,,851,TRUE
8510B5521201,552121,Hollymount,Cnocán an Chuilinn,Hollymount,Cnocán an Chuilinn,,E0851011,569044,837063,54.2814203,-8.4753632,BCT,MKD,OTH,N,,851,TRUE
8510B5531401,553141,Gurteen,Goirtín,Gurteen,Goirtín,,E0851018,565731,805309,53.9958881,-8.5226311,BCT,CUS,OTH,N,,851,TRUE
8510B5554801,555481,St Columbanus Ch,Séipéal N Columbanus,St Columbanus Ch,Séipéal N Columbanus,,E0851750,563951,840078,54.3081767,-8.5539315,BCT,CUS,OTH,W,,851,TRUE
8510B5587401,558741,Kilglass Church,Eaglais Chill Ghlas,Kilglass Church,Eaglais Chill Ghlas,,E0851006,530793,831857,54.2309043,-9.0614664,BCT,CUS,OTH,SW,,851,TRUE
8510B5584201,558421,Markievicz Road,Br Markievicz,Markievicz Road,Br Markievicz,,E0851011,569119,836084,54.2726283,-8.4741106,BCT,MKD,OTH,N,,851,TRUE
8510B5209601,520961,Carroll Drive,Céide Uí Chearúill,Carroll Drive,Céide Uí Chearúill,,E0851011,569719,835230,54.2649908,-8.4648129,BCT,MKD,OTH,S,,851,TRUE
8510B558781,558781,Sligo Hospital,Ospidéal Shligigh,Sligo Hospital,Ospidéal Shligigh,,E0851011,569798,836153,54.2732888,-8.4636934,BCT,MKD,OTH,W,,851,TRUE
8510B5519701,551971,Crozon Park,Páirc Crozon,Crozon Park,Páirc Crozon,,E0851011,569089,834874,54.2617544,-8.4744463,BCT,MKD,OTH,W,,851,TRUE
8510B5518001,,Caltragh Road,Br na Cealtraí,Caltragh Road,Br na Cealtraí,,E0851011,569078,835148,54.2642157,-8.4746434,BCT,MKD,OTH,N,,851,TRUE
8510B5518401,551841,New Circular Road,An Cuarbhóthar Nua,New Circular Road,An Cuarbhóthar Nua,,E0851011,569390,834763,54.2607751,-8.4698151,BCT,MKD,OTH,W,,851,TRUE
8510B5521401,552141,Martin Savage Terrace,Mháirtín Sabhaois,Martin Savage Terrace,Mháirtín Sabhaois,,E0851011,570162,835629,54.2686019,-8.4580528,BCT,MKD,OTH,N,,851,TRUE
8510B5519101,551911,Devins Drive,Céide Uí Dhaimhín,Devins Drive,Céide Uí Dhaimhín,,E0851011,569830,835522,54.2676210,-8.4631385,BCT,MKD,OTH,N,,851,TRUE
8510B5519401,551941,Saint Anne's Church,Eaglais San Anna,Saint Anne's Church,Eaglais San Anna,,E0851011,569581,835698,54.2691877,-8.4669786,BCT,MKD,OTH,SW,,851,TRUE
8510B5520201,552021,High Street,An tSráid Ard,High Street,An tSráid Ard,,E0851011,569166,835696,54.2691449,-8.4733491,BCT,MKD,OTH,N,,851,TRUE
8510B5520701,552071,Clarion Road,Br an Ghalltrumpa,Clarion Road,Br an Ghalltrumpa,,E0511182,570106,836848,54.2795517,-8.4590342,BCT,MKD,OTH,W,,851,TRUE
8510B5521001,552101,Avondale,Avondale,Avondale,Avondale,,E0851011,569453,837267,54.2832779,-8.4691037,BCT,MKD,OTH,N,,851,TRUE
8510B5521101,552111,Rathbraughan,Ráth Bracháin,Rathbraughan,Ráth Bracháin,,E0851011,569596,837558,54.2859011,-8.4669373,BCT,MKD,OTH,N,,851,TRUE
8510B5521301,552131,Carton Village,Srbhl an Chartúin,Carton Village,Srbhl an Chartúin,,E0851011,568937,837202,54.2826628,-8.4770207,BCT,CUS,OTH,SW,,851,TRUE
8510B5249601,524961,St John's Hospital,Ospidéal St John's,St John's Hospital,Ospidéal St John's,,E0851011,569381,836892,54.2799041,-8.4701709,BCT,MKD,OTH,S,,851,TRUE
8510B5584701,558471,Clarion Road,Br an Ghalltrumpa,Clarion Road,Br an Ghalltrumpa,,E0511182,570085,836879,54.2798290,-8.4593597,BCT,MKD,OTH,E,,851,TRUE
8510B5561001,556101,Aclare,Áth an Chláir,Aclare,Áth an Chláir,,E0851004,541075,810052,54.0362802,-8.8995343,BCT,CUS,OTH,N,,851,TRUE
8510B556231,556231,Aclare,Áth an Chláir,Aclare,Áth an Chláir,,E0851004,541137,810065,54.0364040,-8.8985905,BCT,MKD,OTH,N,,851,TRUE
8510B559261,559261,Rathcormac,Ráth Chormaic,Rathcormac,Ráth Chormaic,,E0851064,568704,841221,54.3187600,-8.4810194,BCT,MKD,OTH,SE,,851,TRUE
8510B559271,559271,Ballintrillick,BÁ an Trí Liag,Ballintrillick,BÁ an Trí Liag,,E0851056,573715,850300,54.4006188,-8.4048039,BCT,MKD,OTH,NE,,851,TRUE
8510B559291,559291,Drinaghan Cross,Cr Dhraighneacháin,Drinaghan Cross,Cr Dhraighneacháin,,E0851064,575189,851829,54.4144311,-8.3822318,BCT,MKD,OTH,SW,,851,TRUE
8510B551571,551571,Drumcliffe,Droim Chliabh,Drumcliffe,Droim Chliabh,,E0851051,567528,842176,54.3272673,-8.4991977,BCT,MKD,OTH,NW,,851,TRUE
8510B558651,558651,Dromore West,An Droim Mór Thiar,Dromore West,An Droim Mór Thiar,,E0851001,542964,833744,54.2493574,-8.8751784,BCT,MKD,OTH,NW,,851,TRUE
8510B558581,558581,Harrisons Cross,Crois Harrison,Harrisons Cross,Crois Harrison,,E0851064,527976,822970,54.1506754,-9.1025367,BCT,CUS,OTH,N,,851,TRUE
8510B532941,532941,Howleys Cross,Crois Howleys,Howleys Cross,Crois Howleys,,E0851064,528075,825298,54.1716041,-9.1015769,BCT,MKD,OTH,NW,,851,TRUE
8510B558321,558321,Enniscrone,Inis Crabhann,Enniscrone,Inis Crabhann,,E0851032,528790,829949,54.2134885,-9.0917291,BCT,MKD,OTH,NE,,851,TRUE
8510B558341,558341,Kilglass,Cill Ghlas,Kilglass,Cill Ghlas,,E0851006,530793,831857,54.2309043,-9.0614664,BCT,MKD,OTH,N,,851,TRUE
8510B557131,557131,Quigabar,Cúige Beara,Quigabar,Cúige Beara,,E0851006,531219,833121,54.2423175,-9.0552236,BCT,MKD,OTH,N,,851,TRUE
8510B558361,558361,Rathlee,Ráth Loa,Rathlee,Ráth Loa,,E0851033,533369,836976,54.2772355,-9.0231018,BCT,MKD,OTH,N,,851,TRUE
8510B557141,557141,Finned Bridge,Droichead Fhinnide,Finned Bridge,Droichead Fhinnide,,E0851064,534913,837948,54.2861669,-8.9996095,BCT,MKD,OTH,E,,851,TRUE
8510B558371,558371,Easkey,Iascaigh,Easkey,Iascaigh,,E0851668,537375,837923,54.2862497,-8.9617987,BCT,MKD,OTH,SE,,851,TRUE
8510B558491,558491,Killeenduff,An Cillín Dubh,Killeenduff,An Cillín Dubh,,E0851795,539830,836599,54.2746492,-8.9238340,BCT,MKD,OTH,N,,851,TRUE
8510B557111,557111,Dunowla Cross,Dún Abhla,Dunowla Cross,Dún Abhla,,E0851012,546043,833176,54.2445879,-8.8278366,BCT,MKD,OTH,E,,851,TRUE
8510B558661,558661,Templeboy,Teampall Baoith,Templeboy,Teampall Baoith,,E0851012,547208,833056,54.2436311,-8.8099435,BCT,MKD,OTH,N,,851,TRUE
8510B558671,558671,Farniharpy,Fearann Uí Tharpaigh,Farniharpy,Fearann Uí Tharpaigh,,E0851688,551551,832813,54.2418771,-8.7432797,BCT,MKD,OTH,N,,851,TRUE
8510B558691,558691,Skreen,An Scrín,Skreen,An Scrín,,E0851010,554196,832980,54.2436209,-8.7027304,BCT,MKD,OTH,N,,851,TRUE
8510B558221,558221,Dromard,An Drom Ard,Dromard,An Drom Ard,,E0851037,555760,832429,54.2388077,-8.6786560,BCT,CUS,OTH,N,,851,TRUE
8510B558211,558211,Beltra,Béal Trá,Beltra,Béal Trá,,E0851036,560372,829521,54.2130566,-8.6075273,BCT,MKD,OTH,N,,851,TRUE
8510B558761,558761,Sligo Park Hotel,Óstán Sligo Park,Sligo Park Hotel,Óstán Sligo Park,,E0851011,569213,834093,54.2547444,-8.4724629,BCT,MKD,OTH,N,,851,TRUE
8510B140061,140061,Cliffoney,Cliafuine,Cliffoney,Cliafuine,,E0851425,570461,853557,54.4297047,-8.4552398,BCT,MKD,OTH,SW,,851,TRUE
8510B140071,140071,Grange,An Ghráinseach,Grange,An Ghráinseach,,E0851054,565995,849503,54.3930008,-8.5236002,BCT,MKD,OTH,NW,,851,TRUE
8510B631401,631401,Gurteen,Goirtín,Gurteen,Goirtín,,E0851018,565728,805324,53.9960227,-8.5226785,BCT,MKD,OTH,N,,851,TRUE
8510B553811,553811,Ballymote,Baile an Mhóta,Ballymote,Baile an Mhóta,,E0851014,566290,815529,54.0877568,-8.5152408,BCT,MKD,OTH,NW,,851,TRUE
8510B556491,556491,Coolaney,Cúil Áine,Coolaney,Cúil Áine,,E0851046,560725,825244,54.1746543,-8.6015576,BCT,MKD,OTH,NE,,851,TRUE
8510B552221,552221,Curry,An Choraidh,Curry,An Choraidh,,E0851025,549308,806051,54.0012052,-8.7731981,BCT,MKD,OTH,NE,,851,TRUE
8510B552241,552241,Teeling Street,Sráid Taoiling,Teeling Street,Sráid Taoiling,,E0851013,552204,811895,54.0539905,-8.7299489,BCT,MKD,OTH,NE,,851,TRUE
8510B550211,550211,Ballinacarrow,Baile na Cora,Ballinacarrow,Baile na Cora,,E0851139,563340,820675,54.1337939,-8.5609516,BCT,MKD,OTH,N,,851,TRUE
8510B630071,630071,Glencar Cross,Cr Ghln an Chairthe,Glencar Cross,Cr Ghln an Chairthe,,E0851064,572408,841617,54.3225316,-8.4241274,BCT,CUS,OTH,NE,,851,TRUE
8510B630061,630061,Calry,Calraí,Calry,Calraí,,E0851060,574155,837247,54.2833574,-8.3968964,BCT,MKD,OTH,E,,851,TRUE
8510B555631,555631,Carrigeen,An Charraigín,Carrigeen,An Charraigín,,E0851031,540063,833359,54.2455671,-8.9196091,BCT,MKD,OTH,N,,851,TRUE
8510B555641,555641,Owenbeg,An Abhainn Bheag,Owenbeg,An Abhainn Bheag,,E0851031,538265,831716,54.2305922,-8.9468536,BCT,MKD,OTH,N,,851,TRUE
8510B555651,555651,Tullylinn Cross,Crois Tullyinn,Tullylinn Cross,Crois Tullyinn,,E0851064,533628,827991,54.1965465,-9.0171384,BCT,MKD,OTH,N,,851,TRUE
8510B555661,555661,Stokane Cross,Crois Stokane,Stokane Cross,Crois Stokane,,E0851064,531811,826379,54.1818257,-9.0446133,BCT,MKD,OTH,N,,851,TRUE
8510B555671,555671,Corballa,An Corrbhaile,Corballa,An Corrbhaile,,E0851515,530647,825083,54.1700263,-9.0621433,BCT,MKD,OTH,N,,851,TRUE
8510B559331,559331,Yeats Country Hotel,Óstán Dhúiche Yeats,Yeats Country Hotel,Óstán Dhúiche Yeats,,E0851050,563197,839849,54.3060654,-8.5654887,BCT,MKD,OTH,S,,851,TRUE
8510B558381,558381,Creggs Corner,Coirnéal na Creige,Creggs Corner,Coirnéal na Creige,,E0851064,566657,839260,54.3010106,-8.5122616,BCT,MKD,OTH,SE,,851,TRUE
8510B558441,558441,Ballincar,Baile an Chartha,Ballincar,Baile an Chartha,,E0851147,567439,838941,54.2981948,-8.5002132,BCT,MKD,OTH,SE,,851,TRUE
8510B558331,558331,Ballincar,Baile an Chartha,Ballincar,Baile an Chartha,,E0851147,567431,838931,54.2981044,-8.5003350,BCT,MKD,OTH,NW,,851,TRUE
8510B559111,559111,Ballygawley,Baile Uí Dhálaigh,Ballygawley,Baile Uí Dhálaigh,,E0851042,570867,827030,54.1913778,-8.4463961,BCT,MKD,OTH,N,,851,TRUE
8510B531191,531191,Carraroe Cross,Cs an Cheathrú Rua,Carraroe Cross,Cs an Cheathrú Rua,,E0851064,569021,832854,54.2436001,-8.4752812,BCT,MKD,OTH,N,,851,TRUE
8510B559181,559181,Jinks Cross,Cr Jinks,Jinks Cross,Cr Jinks,,E0851064,569250,831197,54.2287253,-8.4715983,BCT,MKD,OTH,N,,851,TRUE
8510B558861,558861,Carrignagat,Carraig na gCat,Carrignagat,Carraig na gCat,,E0851298,567704,827574,54.1960765,-8.4949182,BCT,MKD,OTH,N,,851,TRUE
8510B558831,558831,Collooney Square,Crng Chúil Mhuine,Collooney Square,Crng Chúil Mhuine,,E0851063,567827,826213,54.1838552,-8.4928879,BCT,MKD,OTH,N,,851,TRUE
8510B565031,565031,Markree Gate,Geata Mharcréidh,Markree Gate,Geata Mharcréidh,,E0851063,568872,825989,54.1819069,-8.4768560,BCT,MKD,OTH,N,,851,TRUE
8510B565041,565041,Kilross,Cill Ros,Kilross,Cill Ros,,E0851064,573058,827210,54.1931149,-8.4128412,BCT,MKD,OTH,N,,851,TRUE
8510B559541,559541,Ballintogher,Baile an Tóchair,Ballintogher,Baile an Tóchair,,E0851008,576222,828055,54.2008640,-8.3644261,BCT,MKD,OTH,N,,851,TRUE
8510B559561,559561,Crossboy Cross,Crois Bheoidh,Crossboy Cross,Crois Bheoidh,,E0851064,577305,829565,54.2144811,-8.3479422,BCT,MKD,OTH,N,,851,TRUE
8510B559191,559191,Sooey Cemetery,Reilig Shúmhaí,Sooey Cemetery,Reilig Shúmhaí,,E0851041,575329,823533,54.1601895,-8.3777416,BCT,MKD,OTH,N,,851,TRUE
8510B559101,559101,Conways Cross,Crois Conway,Conways Cross,Crois Conway,,E0851064,580223,820153,54.1300299,-8.3025885,BCT,MKD,OTH,N,,851,TRUE
8510B558961,558961,Geevagh,An Ghaobhach,Geevagh,An Ghaobhach,,E0851059,583607,816706,54.0991753,-8.2506270,BCT,MKD,OTH,N,,851,TRUE
8510B558811,558811,Collooney Square,Crng Chúil Mhuine,Collooney Square,Crng Chúil Mhuine,,E0851063,567827,826209,54.1838192,-8.4928875,BCT,MKD,OTH,N,,851,TRUE
8510B558481,558481,Dorrin's Strand,Snáithe Dorrins,Dorrin's Strand,Snáithe Dorrins,,E0851064,562080,835997,54.2713733,-8.5821625,BCT,MKD,OTH,SW,,851,TRUE
8510B551141,551141,Dorrin's Strand,Snáithe Dorrins,Dorrin's Strand,Snáithe Dorrins,,E0851064,562090,836011,54.2714999,-8.5820108,BCT,MKD,OTH,NE,,851,TRUE
8510B554331,554331,Knappagh Road,Br na Cnapaí,Knappagh Road,Br na Cnapaí,,E0851043,568586,835958,54.2714637,-8.4822801,BCT,MKD,OTH,E,,851,TRUE
8510B556211,556211,Castlebaldwin,BÁ na gCarraigíní,Castlebaldwin,BÁ na gCarraigíní,,E0851023,575323,814625,54.0801458,-8.3771061,BCT,MKD,OTH,N,,851,TRUE
8510B556641,556641,Ox Mountains Cross,Cr Shliabh Gamh,Ox Mountains Cross,Cr Shliabh Gamh,,E0851753,561209,825908,54.1806572,-8.5942304,BCT,CUS,OTH,N,,851,TRUE
8510B553121,553121,Bunnanaddan,Bun an Fheadáin,Bunnanaddan,Bun an Fheadáin,,E0851021,560429,811668,54.0526475,-8.6043142,BCT,CUS,OTH,N,,851,TRUE
8510B551101,551101,Cloonkeevy,Cluain Ciabhaigh,Cloonkeevy,Cluain Ciabhaigh,,E0851476,563034,814938,54.0822231,-8.5649325,BCT,CUS,OTH,NE,,851,TRUE
8510B554221,554221,Killavil,Cill Fhábhail,Killavil,Cill Fhábhail,,E0851794,563606,809969,54.0376152,-8.5555951,BCT,CUS,OTH,N,,851,TRUE
