name,addressLine,city,neighboorhoud,postcode,latitude,longitude
COLÁISTE ÉAMANN RÍS,ST PATRICK'S ROAD CORK,CORK,CORK,T12XT96,51.8896169,-8.4741731
COLÁISTE ÉANNA,THREADNEEDLE ROAD SALTHILL GALWAY,GALWAY,GALWAY,H91X798,53.274001,-9.0512662
COLÁISTE EINDE,BAILE AN BHÓTHAIR BÓTHAIR STIGH LORGAN CO. ÁTHA CLIATH,DUBLIN,DUBLIN COUNTY,A94E122,53.3498053,-6.2603097
COLÁISTE EOIN,CAPPAGH ROAD FINGLAS WEST DUBLIN 11,DUBLIN,DUBLIN 11,D11AY65,53.3876665,-6.3098251
COLÁISTE EOIN,HACKETSTOWN CO CARLOW,CARLOW,CARLOW,R93CY86,52.8611673,-6.5530425
COLÁISTE EOIN,MITCHELSTOWN MALLOW CO.CORK,CORK,CORK,P67AK37,51.994206,-8.7285446
COLÁISTE FIONNCHUA,BÓTHAR NA HAILLE BAILE BRIGÍN CO. ÁTHA CLIATH,DUBLIN,DUBLIN COUNTY,K32WV18,53.6073239,-6.2079066
COLÁISTE GHLÓR NA MARA,INIS OÍRR OILEÁIN ÁRANN CO.NA.GAILLIMHE,GALWAY,GALWAY,H91V215,53.063329,-9.52281
COLÁISTE GHOBNAIT,BAILE MHIC IRE MACHROMTHA CO CHORCAÍ,CORK,CORK,P12X239,51.9392118,-9.1558049
COLAISTE GHOBNATAN,CLASH ROAD TRALEE,KERRY,KERRY,V92XR81,51.9392118,-9.1558049
COLÁISTE IASCAIGH,BAILE AN GHÓILÍN DAINGEAN UÍ CHÚIS CO CHIARRAÍ,KERRY,KERRY,V92E432,54.286325,-8.9623692
COLÁISTE ÍDE,ABBEYFEALE CO LIMERICK,LIMERICK,LIMERICK,V94F7X4,52.1271115,-10.3052475
COLÁISTE ÍDE AGUS IOSAEF,BR. NA MARA GAILLIMH,GALWAY,GALWAY,H91N732,53.2699598,-9.0613828
COLÁISTE IOGNÁID S.J.,ABBEYFARM KILMALLOCK CO. LIMERICK,LIMERICK,LIMERICK,V35E860,53.2693581,-9.0616608
COLÁISTE IÓSAEF,BÓTHAR STIGH LORGAN BAILE AN BHÓTHAIR AN CHARRAIG DHUBH CO ÁTHA CLIATH,DUBLIN,DUBLIN COUNTY,A94KV12,53.3498053,-6.2603097
COLÁISTE ÍOSAGÁIN,PORTARLINGTON CO. LAOIS,LAOIS,LAOIS,R32HV25,53.1614586,-7.2054559
COLÁISTE ÍOSAGÁIN,CASTLEDERMOT CO. KILDARE,KILDARE,KILDARE,R14X620,52.9090249,-6.8381986
COLAISTE LORCAIN,SEXTON STREET LIMERICK,LIMERICK,LIMERICK,V94NF25,52.663839,-8.6267299
COLAISTE MHICHIL,ASKEATON CO LIMERICK,LIMERICK,LIMERICK,V94P603,52.6588659,-8.6223225
"COLAISTE MHUIRE,",BOTHAR RATH TÓ CABRACH BAILE ÁTHA CLIATH 7,DUBLIN,DUBLIN 7,D07CY97,53.3662355,-6.3023542
COLÁISTE MHUIRE,COLLEGE ROAD ENNIS CO CLARE,CLARE,CLARE,V95X683,52.8468136,-8.9841992
COLÁISTE MHUIRE,BALLYGAR CO. GALWAY,GALWAY,GALWAY,F42D265,53.5242437,-8.3212608
COLÁISTE MHUIRE,TUAR MHIC ÉADAIGH CLAR CLOINNE MHUIRIS CO. MHAIGH EO,MAYO,MAYO,F12H766,53.6653213,-9.350624
COLÁISTE MHUIRE,JOHNSTOWN CO KILKENNY,KILKENNY,KILKENNY,E41H978,52.7443664,-7.5596697
COLÁISTE MHUIRE,CASTLEMEADOWS THURLES CO TIPPERARY,TIPPERARY,TIPPERARY,E41W678,52.6839134,-7.825881
COLÁISTE MHUIRE CO-ED,C/O  GALWAY-ROSCOMMON ETB DOUGHISKA ROAD GALWAY,GALWAY,GALWAY,H91309Y,53.274001,-9.0512662
COLÁISTE MHUIRLINNE/MERLIN COLLEGE,CROSSHAVEN CO. CORK,CORK,CORK,P43HC98,51.8985143,-8.4756035
COLAISTE MUIRE,BISHOP'S STREET COBH CO CORK,CORK,CORK,P24EW42,51.8547853,-8.2937926
COLÁISTE MUIRE,ST. MARY'S ROAD GALWAY,GALWAY,GALWAY,H91H7F8,53.2709827,-9.0670829
COLÁISTE MUIRE MÁTHAIR,ROS MUC CO NA GAILLIMHE,GALWAY,GALWAY,H91R838,53.2709827,-9.0670829
COLÁISTE NA BPIARSACH,CARRICK CO. DONEGAL,DONEGAL,DONEGAL,F94AE20,54.6548993,-8.1040967
COLÁISTE NA CARRAIGE,BOTHAR BHAILE NA MBÚRCACH CNOC NA CATHRACH GAILLIMH,GALWAY,GALWAY,H91RC97,53.2696487,-9.1239492
COLÁISTE NA COIRIBE,BETTYSTOWN CO MEATH,MEATH,MEATH,A92NY30,53.605548,-6.6564169
COLAISTE NA HINSE,JOHNSTOWN EDUCATIONAL CAMPUS JOHNSTOWN NAVAN CO MEATH,MEATH,MEATH,C15T028,53.6927772,-6.2445807
COLÁISTE NANO NAGLE,KILCORMAC CO OFFALY,OFFALY,OFFALY,R42R726,53.1793767,-7.7202164
COLÁISTE NAOMH CORMAC,CILL RÓNÁIN INIS MÓR OILEAIN ÁRANN CO NA GAILLIMHE,GALWAY,GALWAY,H91K5K8,53.274001,-9.0512662
COLÁISTE NAOMH EOIN,CORR NA MONA CO NA GAILLIMHE,GALWAY,GALWAY,F12YV84,53.0849712,-9.5862406
COLÁISTE NAOMH FEICHÍN,SALLINS ROAD NAAS CO. KILDARE,KILDARE,KILDARE,W91VW90,53.2158893,-6.669528
COLÁISTE NAOMH MHUIRE,UPPER CHURCH ST.,LISTOWEL CO. KERRY,KERRY,KERRY,52.4483793,-9.4791246
COLÁISTE NA RÍOCHTA,CAHERCIVEEN CO. KERRY,KERRY,KERRY,V23Y003,52.4483793,-9.4791246
COLÁISTE NA SCEILGE,ÁRD AOIBHINN BANDON CO CORK,CORK,CORK,P72FW28,51.7403489,-8.7316082
COLÁISTE NA TOIRBHIRTE,RATHKEALE CO. LIMERICK,LIMERICK,LIMERICK,V94Y685,51.7400678,-8.731823
COLAISTE NA TROCAIRE (MERCY COMMUNITY COLLEGE),CNOC AN CHONNAIDH BR. ARD MHACHA MUINEACHÁN CO. MHUINEACHÁIN,MONAGHAN,MONAGHAN,H18W897,54.2492046,-6.9683132
COLÁISTE OIRIALL,ROSELAWN LUCAN CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K78E927,53.3498053,-6.2603097
COLÁISTE PHÁDRAIG CBS,BAILE ÚR OILEÁN THORAÍ DOIRÍ BEAGA CO. DHÚN NA NGALL,DONEGAL,DONEGAL,F92X023,54.6548993,-8.1040967
COLAISTE PHOBÁIL ROS CRÉ,ACHILL SOUND WESTPORT CO. MAYO,MAYO,MAYO,F28CP49,52.9542808,-7.7896723
COLÁISTE POBAIL ACLA,SESKIN BANTRY CO CORK,CORK,CORK,P75TE27,51.994206,-8.7285446
COLÁISTE POBAIL BHEANNTRAÍ,HERITAGE VILLAGE GARTER'S LANE SAGGART CO. DUBLIN,DUBLIN,DUBLIN D24,D24HFK2,53.3498053,-6.2603097
COLAISTE POBAIL NAOMH MHUIRE,BÓTHAR URMHUMHAN CILL CHAINNIGH,KILKENNY,KILKENNY,R95X510,52.6487484,-7.2530291
COLÁISTE POBAIL OSRAÍ,RÁTH CHAIRN ÁTH BUÍ,CO. NA MÍ,MEATH,MEATH,53.605548,-6.6564169
COLÁISTE POBAIL RATH CAIRN,COLAISTE POBAIL SETANTA PHIBBLESTOWN CLONEE DUBLIN 15,DUBLIN,DUBLIN 15,D15EY17,53.3977756,-6.4350886
COLÁISTE POBAIL SETANTA,BÓTHAR BHAILE ÁTHA CLIATH BRÉ CO CHILL MHANTAIN,WICKLOW,WICKLOW,A98X3A3,53.2100184,-6.1082782
COLÁISTE RAITHÍN,DUNSHAUGHLIN MEATH,MEATH,MEATH,A85KF64,53.5042753,-6.5359788
COLAISTE RÍS,GEARRBHAILE BEÁL ÁTHA NA SLUA CO NA GAILLIMHE,GALWAY,GALWAY,H53R273,53.3564509,-8.8534113
COLAISTE SHEOSAIMH,FERRYHOUSE CLONMEL CO. TIPPERARY,TIPPERARY,TIPPERARY,E91RF38,52.3810479,-7.9177467
COLÁISTE SHLIABH NA MBAN,KANTURK CO CORK,CORK,CORK,P51A521,52.17781,-8.9012885
COLAISTE TREASA,COLEHILL CO. LONGFORD,LONGFORD,LONGFORD,N39HK27,53.7274982,-7.7931528
COLEHILL MIXED N S,NEILSTOWN RD. ROWLAGH CLONDALKIN DUBLIN 22,DUBLIN,DUBLIN 22,D22X458,53.3498053,-6.2603097
COLLINSTOWN PARK COMMUNITY COLLEGE,BIGWOOD MULLINAVAT CO. WATERFORD,KILKENNY,KILKENNY,X91YA49,52.6549027,-7.2464029
COLMCILLE MIXED N S,KILLUCAN CO WESTMEATH,WESTMEATH,WESTMEATH,N91ET78,53.5165098,-7.1398855
COLUMBA COLLEGE,TINVANE CARRICK-ON-SUIR,TIPPERARY,TIPPERARY,E32X402,52.4737894,-8.1618514
COMERAGH COLLEGE,MAIN STREET CONVOY CO. DONEGAL,DONEGAL,DONEGAL,F93NR7V,54.6548993,-8.1040967
COMMUNITY COLLEGE DUNSHAUGHLIN,KILLORGLIN CO KERRY,KERRY,KERRY,V93PY05,53.5135229,-6.5402525
COMMUNITY COLLEGE KILLORGLIN,CASTLECOMER CO KILKENNY,KILKENNY,KILKENNY,R95AF5Y,52.1063508,-9.7843403
COMMUNITY SCHOOL,CARRICK-ON-SHANNON LEITRIM,LEITRIM,LEITRIM,N41VX63,53.949048,-8.0852102
COMMUNITY SCHOOL,CONFEY LEIXLIP CO KILDARE,KILDARE,KILDARE,W23VH66,53.169971,-6.9140788
CONFEY COMMUNITY COLLEGE,CONNOLLY ENNIS CO. CLARE,CLARE,CLARE,V95Y066,52.904532,-8.9811351
CONNOLLY N S,MALLOW CO. CORK,CORK,CORK,P51D958,51.8985143,-8.4756035
CONVENT GIRLS SENIOR NATIONAL SCHOOL,CHURCH ROAD NEWPORT CO. TIPPERARY,TIPPERARY,TIPPERARY,V94X7F9,52.7108537,-8.4111912
CONVENT OF MERCY,WHITEMILL ROAD WEXFORD,WEXFORD,WEXFORD,Y35DR12,52.3297261,-6.4724563
CONVENT OF MERCY,KILRUSH CO. CLARE,CLARE,CLARE,V15HX06,52.6403777,-9.4867928
CONVENT OF MERCY N S,CONVENT ROAD ABBEYFEALE CO. LIMERICK,LIMERICK,LIMERICK,V94XY93,52.3872142,-9.2958202
CONVENT OF MERCY N S,THE LAWN CASTLEBAR CO. MAYO,MAYO,MAYO,F23YD79,54.1008019,-7.4461146
CONVENT OF MERCY N S,RIVERSTOWN VIA BOYLE CO SLIGO,SLIGO,SLIGO,F52XE71,54.1540446,-8.3740212
COOLA POST PRIMARY SCHOOL,COOLARD LISTOWEL,KERRY,KERRY,V31TR74,52.1544607,-9.5668632
COOLARD MXD N S,RIVERSTOWN VIA BOYLE CO SLIGO,SLIGO,SLIGO,F52EA25,52.4829675,-9.5395286
COOLBOCK N S,ARDAGH CO. LIMERICK,LIMERICK,LIMERICK,V42NT35,54.1420651,-8.4441877
COOLCAPPA N S,BROSNA BIRR CO OFFALY,OFFALY,OFFALY,R42ER23,53.0121592,-7.841616
COOLDERRY CENTRAL NS,GARRADICE,KILCOCK,CO. MEATH,MEATH,53.493852,-6.785844
"COOLE N.S,",CUL FHASAIGH TINAHELY CO WICKLOW,WICKLOW,WICKLOW,Y14VY60,52.7636898,-6.4322928
COOLICK NATIONAL SCHOOL,COOLMEEN KILMURRY MCMAHON KILRUSH CO. CLARE,CLARE,CLARE,V15KR50,52.1248974,-9.5055369
COOLMEEN N S,COORYLEARY BANTRY CO. CORK,CORK,CORK,P75W984,52.6526667,-9.2140599
COOMHOLA N S,COONEAL BALLINA CO. MAYO,MAYO,MAYO,F26T659,54.0152604,-9.4289369
COONEAL N.S.,COORACLARE KILRUSH,CLARE,CLARE,V15D728,52.8439049,-8.9817324
COORACLARE B N S,COORE MULLAGH ENNIS,CLARE,CLARE,V95T972,52.8125914,-9.3513917
COORE NATIONAL SCHOOL,CORBALLA VIA BALLINA CO. SLIGO,SLIGO,SLIGO,F26F582,54.1553277,-8.6064532
CORBALLA N S,CORCAGHAN STRANOODEN CO. MONAGHAN,MONAGHAN,MONAGHAN,H18E284,54.2492046,-6.9683132
CORCAGHAN N S,CORCLOUGH WEST BELMULLET CO. MAYO,MAYO,MAYO,F26RW94,54.1905928,-7.0010836
CORCLOUGH NS,CORCREAGH SHERCOCK CO. CAVAN,MONAGHAN,MONAGHAN,A81YR59,54.2492046,-6.9683132
CORDUFF N S,MORRISON'S ISLAND CORK,CORK,CORK,T12H685,51.8956305,-8.4694195
CORK COLLEGE OF COMMERCE,GRATTAN STREET CORK,CORK,CORK,T12NW65,51.8956524,-8.469441
CORK EDUCATE TOGETHER NATIONAL SCHOOL,C/O GRIFFITH COLLEGE WELLINGTON ROAD CORK,CORK,CORK,T23DF3A,51.8987546,-8.4796298
CORK EDUCATE TOGETHER SECONDARY SCHOOL,CHILDREN'S WARD WILTON CORK,CORK,CORK,T12DC4A,51.9043036,-8.4601323
CORK UNIVERSITY HOS SCHOOL,CORLEA KINGSCOURT CO. CAVAN,CAVAN,CAVAN,A82AT88,53.9765424,-7.2996623
CORLEA N S,CORLISS KILLESHANDRA CO. CAVAN,CAVAN,CAVAN,H12E621,53.9444093,-6.8731977
CORLISS N S,KILLEENNASHASK GARRANARD BALLINA CO. MAYO,MAYO,MAYO,F26KW35,54.0152604,-9.4289369
CORMAIC NFA,MONASTERY HOUSE GOLDEN ROAD CASHEL CO. TIPPERARY,TIPPERARY,TIPPERARY,E25YW63,52.5163587,-7.8929826
CORMAIC SPECIAL SCHOOL,ARVA CO. CAVAN,CAVAN,CAVAN,H12W984,53.9381909,-7.5235506
CORPUS CHRISTI N S,MOYROSS LIMERICK,LIMERICK,LIMERICK,V94Y4CY,52.663839,-8.6267299
CORPUS CHRISTI N S,CORRACRIN EMYVALE CO. MONAGHAN,MONAGHAN,MONAGHAN,H18XH29,54.2492046,-6.9683132
CORR A CHRAINN NATIONAL SCHOOL,BALLYMOTE CO SLIGO,SLIGO,SLIGO,F56DP86,54.0912027,-8.5152833
CORRAN COLLEGE,CORNAMADDY ATHLONE CO. WESTMEATH,WESTMEATH,WESTMEATH,N37TR23,53.4350602,-7.9027395
CORR NA MADADH N S,MAIN STREET STRADBALLY CO. LAOIS,LAOIS,LAOIS,R32VP9F,53.0134405,-7.1454198
COSBY N S,COURT GOREY CO. WEXFORD,WEXFORD,WEXFORD,Y25WN22,52.5539446,-6.3421776
COURT N S,CRAGGAGH BALLA CO. MAYO,MAYO,MAYO,F23A590,54.0152604,-9.4289369
CRAGGAGH N S,CRANA ROAD BUNCRANA CO. DONEGAL,DONEGAL,DONEGAL,F93D568,54.6548993,-8.1040967
CRANA COLLEGE,CRANFORD LETTERKENNY CO. DONEGAL,DONEGAL,DONEGAL,F92TV00,55.1349829,-7.4576821
CRANNOG NUA SPECIAL SCHOOL,CRATLOE CO. CLARE,CLARE,CLARE,V95V596,52.6993005,-8.7554634
CRATLOE N S,CARNEW ROAD GOREY CO. WEXFORD,WEXFORD,WEXFORD,Y25V6Y9,52.4793603,-6.5839913
CREAGH COLLEGE,CREESLOUGH LETTERKENNY CO. DONEGAL,DONEGAL,DONEGAL,F92W803,54.6548993,-8.1040967
CREESLOUGH N S,CREEGS VIA ROSCOMMON CO GALWAY,GALWAY,GALWAY,F42D592,55.1233497,-7.9094676
CREGGS CENTRAL N S,DOORADOYLE RD DOORADOYLE LIMERICK,LIMERICK,LIMERICK,V94W6W8,53.5951306,-8.3608216
CRESCENT COLLEGE COMPREHENSIVE,CRIMLIN ROSS CASTLEBAR,MAYO,MAYO,F23V008,54.0152604,-9.4289369
CRIMLIN N S,CROAGH RATHKEALE CO. LIMERICK,LIMERICK,LIMERICK,V94R7R2,52.5090517,-8.7474955
CROAGH NATIONAL SCHOOL,PORTSALON LETTERKENNY CO. DONEGAL,DONEGAL,DONEGAL,F92VK38,54.6548993,-8.1040967
CROAGHROSS N S,CAHERDANIEL KILLARNEY CO. KERRY,KERRY,KERRY,V93FK88,55.2108913,-7.6266579
CROINCHOILL N S,CORRALOUGH WILLIAMSTOWN CO. GALWAY,GALWAY,GALWAY,F45K466,53.6762419,-8.5783986
CROI RONAOFA MEASCAITHE,CROMCASTLE GREEN KILMORE WEST DUBLIN 5,DUBLIN,DUBLIN 5,D05YP68,53.2777022,-6.3825654
CROMCASTLE GREEN B N S,VEVAY CRESCENT VEVAY ROAD BRAY CO. WICKLOW,WICKLOW,WICKLOW,A98NW42,53.1991,-6.1076432
CRONAN NAOFA N S,HIGH STREET CROOM CO. LIMERICK,LIMERICK,LIMERICK,V35WD60,52.5209419,-8.7133006
CROOM NATIONAL SCHOOL,KILCULLEN CO KILDARE,KILDARE,KILDARE,R56E673,53.2120434,-6.8194708
CROSS AND PASSION COLLEGE,CROSSBRIDGE TINAHELY CO WICKLOW,WICKLOW,WICKLOW,Y14YH51,52.9862313,-6.3672543
CROSSBRIDGE N S,CROSSERLOUGH CO. CAVAN,CAVAN,CAVAN,A82TK30,53.8760873,-7.2879241
CROSSERLOUGH N S,CARRICKATOBER CROSSKEYS CO. CAVAN,CAVAN,CAVAN,H12Y998,53.8647112,-7.2884148
CROSSKEYS CENTRAL N S,CROSSMOLINA CO. MAYO,MAYO,MAYO,F26T224,54.0979487,-9.318481
CROSS N S,CROWENSTOWN DELVIN CO. WESTMEATH,WESTMEATH,WESTMEATH,N91X7DV,53.6112277,-7.0369525
CROWENSTOWN N S,CRUMLIN BALLYGLUNIN CO. GALWAY,GALWAY,GALWAY,H54VY03,53.3564509,-8.8534113
CRUMLIN N S,AN CIMIN MOR CAPPAGH ROAD KNOCKNACARRA,GALWAY,GALWAY,H91Y38E,53.2649372,-9.1256044
CUAN NA GAILLIMHE COMMUNITY NATIONAL SCHOOL,CULLEN CO. TIPPERARY,TIPPERARY,TIPPERARY,E34XR86,52.5115887,-8.2778401
CULLEN N S,FARANOO BALLINA CO. MAYO,MAYO,MAYO,F26TF97,54.138022,-9.1638028
CULLENS N S,SWINFORD CO MAYO,MAYO,MAYO,F12YA37,53.9531315,-8.8925182
CULMORE N S,CURRACLOE ENNISCORTHY CO. WEXFORD,WEXFORD,WEXFORD,Y21W628,52.4793603,-6.5839913
CURRACLOE N S,CURRAGHAGALLA KILWORTH CO. CORK,CORK,CORK,P61AV80,52.3931816,-6.3921174
CURRAGHAGALLA N S,CURRAGH CAMP CO. KILDARE,KILDARE,KILDARE,R56Y860,53.1478604,-6.8277769
CURRAGH COMMUNITY COLLEGE,GLENBEIGH CO KERRY,KERRY,KERRY,V93XD43,53.1420265,-6.8285954
CURRAHEEN MXD N S,SCOIL IDE CURRANES CASTLEISLAND CO.KERRY,KERRY,KERRY,V92KW97,51.8749152,-8.5468264
CURRANES N S,BLACKPOOL CURRAGLASS CO. CORK,CORK,CORK,P51AX94,51.8943866,-8.4285073
CURRIGLASS NS,CHURCH ROAD DAINGEAN CO. OFFALY,OFFALY,OFFALY,R35AH95,53.2356871,-7.7122229
DAINGEAN N S,HARBOUR ROAD DALKEY CO. DUBLIN,DUBLIN,DUBLIN COUNTY,A96RR04,53.2815787,-6.1030265
DALKEY N S (2),GLENAGEARY LODGE GLENAGEARY CO DUBLIN,DUBLIN,DUBLIN COUNTY,A96RX32,53.2747608,-6.1330205
DALKEY SCHOOL PROJECT,DALYSTOWN MULLINGAR CO. WESTMEATH,WESTMEATH,WESTMEATH,N91W207,53.4351496,-7.3855048
DALYSTOWN N S,DANGAN SUMMERHILL CO. MEATH,MEATH,MEATH,A83HN83,53.4899804,-6.7432816
DANGAN MIXED N S,DANGAN KILMORE CARRICK-ON-SHANNON CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,N41RC79,53.894742,-8.0294964
DANU COMMUNITY SPECIAL SCHOOL,MONAGHAN ROAD COOTEHILL CO. CAVAN,CAVAN,CAVAN,H16NH02,54.0761079,-7.0865149
DARLEY N S,OUR LADY IMMAC JUN NS DARNDALE MALAHIDE ROAD DUBLIN 17,DUBLIN,DUBLIN 17,D17TR25,53.401339,-6.193453
DARNDALE NS JUNIOR,DAVIDSTOWN PRIMARY SCHOOL ENNISCORTHY CO WEXFORD,WEXFORD,WEXFORD,Y21E772,53.3983085,-6.1923102
DAVIDSTOWN PRIMARY SCHOOL,SUMMERHILL MALLOW CO CORK,CORK,CORK,P51H589,52.1250351,-8.6414357
DAVITT COLLEGE,WESTBOURNE RISE CLONDALKIN DUBLIN 22,DUBLIN,DUBLIN 22,D22RY77,53.3498053,-6.2603097
DEANSRATH COMMUNITY COLLEGE,RAPHOE LIFFORD CO DONEGAL,DONEGAL,DONEGAL,F93D237,54.6548993,-8.1040967
DEELE COLLEGE,ASHBOURNE EDUCATION CAMPUS KILLEGLAND ASHBOURNE CO. MEATH,MEATH,MEATH,A84TW90,53.605548,-6.6564169
DE LACY COLLEGE,UPPER CHURCHTOWN ROAD CHURCHTOWN DUBLIN 14,DUBLIN,DUBLIN 14,D14A0T9,53.2969858,-6.2642883
DE LA SALLE COLLEGE,CASTLEBLAYNEY ROAD DUNDALK CO. LOUTH,LOUTH,LOUTH,A91FC91,54.0167319,-6.4279597
DE LA SALLE COLLEGE,NEWTOWN WATERFORD,WATERFORD,WATERFORD,X91DT68,52.253541,-7.102575
DE LA SALLE COLLEGE,DELGANY CO. WICKLOW,WICKLOW,WICKLOW,A63A657,53.1330103,-6.0861135
DELGANY N S,DERAVOY EMYVALE CO. MONAGHAN,MONAGHAN,MONAGHAN,H18PY11,54.2492046,-6.9683132
DERAVOY NATIONAL SCHOOL,DERRINACAHARA DUNMANWAY CO. CORK,CORK,CORK,P47VX89,54.35737,-7.02224
DERRINACAHARA N S,DERRINAGREE MALLOW CO. CORK,CORK,CORK,P51PT63,51.7529405,-9.1765509
DERRINAGREE N S,DERRYCREHA GLENGARRIFF CO. CORK,CORK,CORK,P75YD52,52.1236895,-9.0358063
DERRYCREHA N S,DERRYMORE TRALEE,KERRY,KERRY,V92EK49,52.2394194,-9.8227867
DERRYQUAY MXD N S,DESERT ENNISKEANE CO. CORK,CORK,CORK,P47W970,52.24054,-9.80941
DESMOND COLLEGE,CASTLEPOLLARD CO. WESTMEATH,WESTMEATH,WESTMEATH,N91WC61,53.5345308,-7.4653217
DIARMADA N S,DIFFREEN MANORHAMILTON CO. LEITRIM,LEITRIM,LEITRIM,F91E044,54.3236664,-8.3203463
DIFFEREEN N S,LYNCH'S LANE LUCAN CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K78FW98,53.3498053,-6.2603097
DIVINE MERCY JUNIOR NATIONAL SCHOOL,BALGADDY LUCAN CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K78A393,53.3405372,-6.4153757
DIVINE MERCY SENIOR NATIONAL SCHOOL,DOMINICAN COLLEGE SION HILL CROSS AVENUE BLACKROCK CO DUBLIN,DUBLIN,DUBLIN COUNTY,A94TP97,53.3895576,-6.1471234
DOMINICAN COLLEGE,204,GRIFFITH AVE DRUMCONDRA DUBLIN 9,DUBLIN,DUBLIN 9,53.3739852,-6.2482865
DOMINICAN COLLEGE,WICKLOW TOWN CO. WICKLOW,WICKLOW,WICKLOW,A67XV58,52.9775253,-6.0395261
DOMINICAN COLLEGE,TAYLORS HILL GALWAY,GALWAY,GALWAY,H91C573,53.2677916,-9.077076
DOMINICAN COLLEGE,RATOATH ROAD CABRA WEST DUBLIN 7,DUBLIN,DUBLIN 7,D07V045,53.3739852,-6.2482865
DONABATE COMMUNITY COLLEGE,BALLISK COMMON BEAVERSTOWN ROAD DONABATE CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K36HX03,53.4902885,-6.1451113
DONABATE/PORTRANE EDUCATE TOGETHER NS,DONOUGHMORE DONARD CO. WICKLOW,WICKLOW,WICKLOW,W91XY32,53.4895663,-6.146623
DONAGHMORE N S,BARRACK STREET DONARD CO. WICKLOW,WICKLOW,WICKLOW,W91TW42,52.9901885,-6.626965
DONARD N S,BALLAGHADEREEN CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,F45XV82,53.7592604,-8.2681621
DON N S,DONOUGHMORE CO. LIMERICK,LIMERICK,LIMERICK,V94X051,52.663839,-8.6267299
DONOUGHMORE N S,DOOHAMLET CASTLEBLAYNEY CO. MONAGHAN,MONAGHAN,MONAGHAN,A75YV07,54.2492046,-6.9683132
DOOHAMLET N S,BALLYBOFEY CO DONEGAL,DONEGAL,DONEGAL,F93N768,54.6548993,-8.1040967
DOOKINELLA  N.S.,ENNIS CO. CLARE,CLARE,CLARE,V95TC66,52.8439049,-8.9817324
DOONAHA N S,KILLARD ROAD DOONBEG CO. CLARE,CLARE,CLARE,V15HW73,52.62315,-9.6477356
DOONBEG N S,DOON CO. LIMERICK,LIMERICK,LIMERICK,V94CV48,52.6029366,-8.2452348
DOON CONVENT N S,DOUGLAS WEST CORK,CORK,CORK,T12FW11,51.8736504,-8.4410567
DOUGLAS B N S,CLERMONT AVENUE DOUGLAS CORK,CORK,CORK,T12HF77,51.8786921,-8.4423516
DOUGLAS COMMUNITY SCHOOL,GARRYDUFF SPORTS CENTRE ROCHESTOWN CORK,CORK,CORK,T12A38N,51.878584,-8.4420661
DOUGLAS ROCHESTOWN EDUCATE TOGETHER NATIONAL SCHOOL,DRIMNAGH CASTLE LONG MILE ROAD DUBLIN 12,DUBLIN,DUBLIN 12,D12C893,53.3498053,-6.2603097
DRIMNAGH CASTLE CBS N S,DRIMOLEAGUE CO CORK,CORK,CORK,P47PK50,53.3293084,-6.310314
DRIMOLEAGUE JUNIOR SCH,DUNMANWAY CO CORK,CORK,CORK,P47E024,51.6599357,-9.2612453
DRINAGH MIXED NS,DRIPSEY CO CORK,CORK,CORK,P12HE64,51.6513982,-9.1471506
DROGHEDA GRAMMAR SCHOOL,DROMAGH MALLOW CO. CORK,CORK,CORK,P51A037,51.8985143,-8.4756035
DROMAGH MIXED N S,DRUMELIS CAVAN CO. CAVAN,CAVAN,CAVAN,H12DW77,54.1136857,-7.5819905
DROMAILI S N,LISTOWELL CO. KERRY,KERRY,KERRY,V31W640,52.4075302,-9.5254476
DROMCLOUGH N S,DRIMOLEAGUE CO. CORK,CORK,CORK,P47V072,51.7153631,-9.3515299
DROMDHALLAGH N S,DROMINDOORA CAHER FEAKLE,CLARE,CLARE,V94XP71,52.9974243,-8.7212797
DROMINDOORA N.S.,DROMIN DUNLEER CO. LOUTH,LOUTH,LOUTH,A92VP44,53.9252324,-6.4889423
DROMIN N S,DROMISKIN DUNDALK CO. LOUTH,LOUTH,LOUTH,A91E398,53.8444493,-6.4444094
DROMISKIN MIXED N S,DROMLEIGH KILMICHAEL MACROOM CO. CORK,CORK,CORK,P12DY26,53.9217123,-6.4010092
DROMLEIGH N S,DROMORE WEST CO. SLIGO,SLIGO,SLIGO,F26VW50,51.8339308,-9.0481132
DROMTRASNA N S,DROMINA CHARLEVILLE CO. CORK,CORK,CORK,P56T293,52.3662596,-9.249518
DRUIMNE N S,DRUMACRUTTEN DUNRAYMOND CO. MONAGHAN,MONAGHAN,MONAGHAN,H18YD83,54.1958406,-6.9405181
DRUMACRUTTIN N S,DRUMBARAGH KELLS CO. MEATH,MEATH,MEATH,A82NP98,53.7261408,-6.9407214
DRUMBARRAGH N S,BANTRY CO. CORK,CORK,CORK,P75VA47,53.724314,-6.9443015
DRUMCLUGH N S,BÓTHAR NAOMH MOBHÍ,DROIM CONRACH,,DUBLIN,53.3675992,-6.2554578
