name,addressLine,city,neighboorhoud,postcode,latitude,longitude
ARDEE MONASTERY,ARDEN VIEW TULLAMORE CO. OFFALY,OFFALY,OFFALY,R35HN70,53.2812639,-7.4959016
ARDEN BOYS NS,STATION ROAD ARDFERT CO. KERRY,KERRY,KERRY,V92CD63,52.3234146,-9.7759861
ARDFINNAN N S,CASTLELANDS BALBRIGGAN CO DUBLIN,DUBLIN,DUBLIN COUNTY,K32KK33,53.314235,-6.2535364
ARDGILLAN COMMUNITY COLLEGE,ARDEERAN RIVERSTOWN CO. SLIGO,SLIGO,SLIGO,F52E244,54.1553277,-8.6064532
ARDKEERIN N S,ARLES BALLICKMOYLER CO. LAOIS,LAOIS,LAOIS,R93HY62,52.8917575,-7.0190276
ARDLIOS N S,ARDNAGRATH WALDERSTOWN CO. WESTMEATH CO WESTMEATH,WESTMEATH,WESTMEATH,N37YY16,53.4831281,-7.7905433
ARD NA GCRAITH NS,ARDPATRICK KILMALLOCK CO. LIMERICK,LIMERICK,LIMERICK,V35CC64,52.3434717,-8.5189221
ARDPATRICK N S,BALREASK OLD NAVAN CO. MEATH,MEATH,MEATH,C15D340,53.605548,-6.6564169
ARD RÍ COMMUNITY NATIONAL SCHOOL,FREDERICK ST. CLARA CO. OFFALY,OFFALY,OFFALY,R35H974,53.3406297,-7.6124335
ARDSCOIL CHIARÁIN NAOFA,RAHENY ROAD RAHENY DUBLIN 5,DUBLIN,DUBLIN 5,D05Y132,53.388932,-6.169582
ÁRDSCOIL LA SALLE,MACKNEY BALLINASLOE CO GALWAY,GALWAY,GALWAY,H53CP40,53.3223039,-8.2467489
ARDSCOIL MHUIRE,SUMMERHILL TRAMORE,WATERFORD,WATERFORD,X91Y981,52.1617916,-7.1599202
ARDSCOIL NA MARA,KICKHAM STREET CLONMEL CO TIPPERARY,TIPPERARY,TIPPERARY,E91AC03,52.3569286,-7.6989087
ÁRDSCOIL NA MBRÁITHRE,CONVENT RD. DUNGARVAN CO. WATERFORD,WATERFORD,WATERFORD,X35RR90,52.3570787,-7.6989843
ARDSCOIL NA NDÉISE,RATHSTEWART ATHY CO KILDARE,KILDARE,KILDARE,R14DK12,52.996107,-6.9834936
ÁRDSCOIL NA TRIONÓIDE,GRANARD CO LONGFORD,LONGFORD,LONGFORD,N39RR79,53.7767749,-7.5047641
ARDSCOIL PHADRAIG,RATHANGAN CO KILDARE,KILDARE,KILDARE,R51DA36,53.7767944,-7.504527
ARDSCOIL RATH IOMGHÁIN,NORTH CIRCULAR RD LIMERICK,LIMERICK,LIMERICK,V94V602,53.2210179,-6.9945422
ARDSCOIL RIS,GRIFFITH AVENUE MARINO DUBLIN 9,DUBLIN,DUBLIN 9,D09AK30,53.369269,-6.2281963
ÁRDSCOIL RÍS,BANDON CO CORK,CORK,CORK,P72C983,51.994206,-8.7285446
ARDVARNEY MXD N S,COOLGREANEY ROAD ARKLOW CO WICKLOW,WICKLOW,WICKLOW,Y14RV04,52.7975257,-6.1663672
ARKLOW CBS,ASHBOURNE EDUCATION CAMPUS ASHBOURNE,MEATH,MEATH,,52.7975306,-6.1660971
ASHBOURNE COMMUNITY NATIONAL SCHOOL,DEERPARK ASHBOURNE CO MEATH,MEATH,MEATH,A84T925,53.5103375,-6.4092656
ASHBOURNE COMMUNITY SCHOOL,ASHBOURNE EDUCATE TOGETHER KILLEGLAND ASHBOURNE CO. MEATH,MEATH,MEATH,A84A4X6,53.5040567,-6.3881104
ASHBOURNE EDUCATE TOGETHER NATIONAL SCHOOL,BLACKROCK ROAD CORK,CORK,CORK,T12AF50,53.5111621,-6.3973818
ASHTON SCHOOL,ASKEATON CO LIMERICK,LIMERICK,LIMERICK,V94HD30,52.5090517,-8.7474955
ASKEATON SENIOR NS,WALKINSTOWN DUBLIN 12,DUBLIN,DUBLIN 12,D12EH70,53.3498053,-6.2603097
ASSUMPTION JUNIOR SCHOOL,WALKINSTOWN DUBLIN 12,DUBLIN,DUBLIN 12,D12PK75,53.3232405,-6.3330351
ASSUMPTION SECONDARY SCHOOL,DUNLIN STREET ASTON VILLAGE DROGHEDA CO. LOUTH,LOUTH,LOUTH,A92DR44,53.7312044,-6.3293506
ATHBOY COMMUNITY SCHOOL,ATHEA CO. LIMERICK,LIMERICK,LIMERICK,V94F226,52.5090517,-8.7474955
ATHEA N SCHOOL,ATHLACCA KILMALLOCK CO. LIMERICK,LIMERICK,LIMERICK,V35AN83,52.4606497,-9.287626
ATHLACCA N S,ATHLEAGUE CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,F42VF95,53.7592604,-8.2681621
ATHLEAGUE N S,RETREAT ROAD ATHLONE CO WESTMEATH,WESTMEATH,WESTMEATH,N37Y985,53.4243401,-7.9195026
ATHLONE COMMUNITY COLLEGE,ARCADIA ATHLONE CO. WESTMEATH,WESTMEATH,WESTMEATH,N37CX20,53.4242631,-7.9206865
ATHLONE N S,POUNDHILL NEWMARKET CO. CORK,CORK,CORK,P51KW83,53.4239331,-7.9406898
ATH TREASNA G N S,TOMARD ATHY CO KILDARE,KILDARE,KILDARE,R14KT50,53.001559,-6.9863983
ATHY COMMUNITY COLLEGE,TOMARD ATHY CO. KILDARE,KILDARE,KILDARE,R14Y478,53.0029355,-6.9854291
ATHY MODEL SCHOOL,ATTYMON ATHENRY CO. GALWAY,GALWAY,GALWAY,H65YX73,52.9918336,-6.985728
AUGHADREENA NATIONAL SCHOOL,AUGHAVAS CARRIGALLEN CO.LEITRIM,LEITRIM,LEITRIM,H12YY74,53.9544775,-7.7182759
AUGHAVAS NS,LISGRUDY GARADICE CO. LEITRIM,LEITRIM,LEITRIM,N41E082,53.954478,-7.7182731
AUGHAWILLAN NS,HILLSTREET CARRICK-ON-SHANNON CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,N41EY63,53.8717867,-8.1224238
AUGHRIM N S,RATHDRUM CO WICKLOW,WICKLOW,WICKLOW,A67RR26,52.9344875,-6.2360956
AVONDALE COMMUNITY COLLEGE,TANK ROAD RAMELTON LETTERKENNY CO. DONEGAL,DONEGAL,DONEGAL,F92WT21,54.6548993,-8.1040967
AYR HILL N S RAMELTON,BALLINKILLEN MUINE BHEAG CO. CARLOW,CARLOW,CARLOW,R21Y803,55.0360278,-7.6466369
BAILE AN CHUILINN N S,CORALSTOWN MULLINGAR CO. WESTMEATH,WESTMEATH,WESTMEATH,N91KC84,53.4848457,-7.1911454
BAILE COIREIL N S,JORDANSTOWN LUSK CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K45YP02,53.5507115,-6.2075662
BAILE FALBACH,OGHIL MORE LAWRENCETOWN CO. GALWAY,GALWAY,GALWAY,H53RH48,53.2393124,-8.1733098
BAILE NA GCAILLEACH N S,BAILIEBORO CO. CAVAN,CAVAN,CAVAN,A82W264,53.8970085,-6.9531972
BAILE NA MONA,BAILIEBOROUGH CO. CAVAN,CAVAN,CAVAN,A82FX62,53.8969115,-6.9528776
BAILIEBORO MODEL N S,TANDERAGEE BAILIEBOROUGH CO. CAVAN,CAVAN,CAVAN,A82DR53,53.9171451,-6.9739934
BAILIEBORO N S,BAILIEBOROUGH CO CAVAN,CAVAN,CAVAN,A82P585,53.9129098,-6.9739005
BAILIEBOROUGH COMMUNITY SCHOOL,GURTEEN ROAD BALLYFERMOT DUBLIN 10,DUBLIN,DUBLIN 10,D10C527,53.3498053,-6.2603097
BAINRION NA NAINGAL 2,PINE RIDGE CHAPEL ST. BALBRIGGAN CO DUBLIN,DUBLIN,DUBLIN COUNTY,K32HE19,53.3498053,-6.2603097
BALBRIGGAN COMMUNITY COLLEGE,HAMLET LANE BALBRIGGAN CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K32NT02,53.6112275,-6.1889446
BALBRIGGAN EDUCATE TOGETHER NS,CONRAY ROSSINVER CO. LEITRIM,LEITRIM,LEITRIM,F91HH90,53.6083194,-6.1820798
BALLAGHAMEEHAN N S,THE BALLAGH ENNISCORTHY CO. WEXFORD,WEXFORD,WEXFORD,Y21K577,52.4793603,-6.5839913
BALLANAGARE N S,BALLAPOUSTA ARDEE CO. LOUTH,LOUTH,LOUTH,A92XD53,53.8218251,-6.5575326
BALLAPOUSTA NS,BALLA CASTLEBAR CO MAYO,MAYO,MAYO,F23KT65,53.82261,-6.55828
BALLA SECONDARY SCHOOL,MILFORD CO. CARLOW,CARLOW,CARLOW,R93T9N4,52.835854,-6.9324744
BALLINABRANNA MXD N S,BALLINADEE BANDON CO. CORK,CORK,CORK,P72TW82,52.7888956,-6.9998685
BALLINADEE N S,BALLINAGORE KILBEGGAN CO. WESTMEATH,WESTMEATH,WESTMEATH,N91XF57,53.5345308,-7.4653217
BALLINAGORE MIXED N S,BALLINAGREE MACROOM,,CORK,CORK,53.4064475,-7.464873
BALLINAGREE MXD N S,ATHLONE CO WESTMEATH,WESTMEATH,WESTMEATH,N37F744,53.5345308,-7.4653217
BALLINAHOWEN NS,BALLINAKILL PORTLAOISE CO. LAOIS,LAOIS,LAOIS,R32TX38,52.8759472,-7.3081052
BALLINAKILL MIXED N S,BALLINAMORE CO LEITRIM,LEITRIM,LEITRIM,N41F6A2,54.0583822,-7.7922685
BALLINCARRIGA MXD N S,INNISHMORE BALLINCOLLIG CO. CORK,CORK,CORK,P31E030,51.7043482,-9.0305213
BALLINCOLLIG COMMUNITY SCHOOL,BALLINDAGGIN ENNISCORTHY CO. WEXFORD,WEXFORD,WEXFORD,Y21A371,51.888026,-8.5949041
BALLINDAGGIN N S,BALLINDANGAN MITCHELSTOWN CO. CORK,CORK,CORK,P67EW90,52.568545,-6.680261
BALLINDANGAN MIXED N S,BALLINDERREEN KILCOLGAN CO. GALWAY,GALWAY,GALWAY,H91F292,52.2373907,-8.3401634
BALLINDERREEN MXD N S,CUMMER TUAM CO. GALWAY,GALWAY,GALWAY,H54PX07,53.1856721,-8.9096454
BALLINDERRY N S,BALLINDINE CLAREMORRIS CO. MAYO,MAYO,MAYO,F12CY64,53.6728266,-8.9568178
BALLINDINE B N S,BALLINLOUGH KELLS CO. MEATH,MEATH,MEATH,A82PX57,53.6692569,-8.9567295
BALLINLOUGH N S,BALLINLOUGH CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,F45RY86,53.7412503,-8.6355799
BALLINLOUGH N S,CLARION RD BALLINODE SLIGO,SLIGO,SLIGO,F91DY66,54.2790879,-8.459241
BALLINROBE COMMUNITY SCHOOL,BALLYCATTEN BALLINSPITTLE CO. CORK,CORK,CORK,P17FN27,53.6237338,-9.2211143
BALLINSPITTLE N S,BROADFORD ROAD BALLINTEER DUBLIN 16,DUBLIN,DUBLIN 16,D16XF79,51.6663408,-8.5965941
BALLINTEER COMMUNITY SCHOOL,PARKVALE BALALLY DUBLIN 16,DUBLIN,DUBLIN 14,D16N6T0,53.2811013,-6.260471
BALLINTEER EDUCATE TOGETHER NATIONAL SCHOOL,BALLINTEMPLE N S CRAB LANE CORK,CORK,CORK,T12WA02,53.2746173,-6.2535293
BALLINTEMPLE N S,CURRAGHBOY ATHLONE CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,N37VN23,51.894359,-8.4347619
