name
ATU Galway
ATU Donegal
ATU Sligo
Dublin City University (DCU)
Maynooth University
Munster Technological University
University of Galway
Royal College of Surgeons in Ireland (RCSI)
South East Technological University - Carlow
South East Technological University - Waterford
Trinity College Dublin - The University of Dublin
Technological University Dublin - Blanchardstown
Technological University Dublin - Dublin City
Technological University Dublin - Tallaght
Technological University of the Shannon - Limerick
Technological University of the Shannon - Athlone
University College Cork (UCC)
University College Dublin (UCD)
University of Limerick (UL)
Mary Immaculate College
National College of Art and Design
Shannon College of Hotel Management
