"AIRO_ID","Roll_No","Off_Name","Add_1","Add_2","Add_3","Add_4","County","Gender","Pupil_Att","Irish_Lan","Fee","Ethos","F_13_14","M_13_14","xcoord","ycoord","Long","Lat"
365,"68070E","Mercy Secondary School","Mounthawk,","Tralee,","Co. Kerry","","Kerry","Mixed","Day","No subjects taught through Irish","N","CATHOLIC",599,586,82443,115974,82443,115974
366,"68071G","John Scottus Secondary School","72/76 Morehampton Rd","Donnybrook","Dublin 4","","Dublin","Mixed","Day","No subjects taught through Irish","Y","INTER DENOMINATIONAL",71,65,317277,231986,317277,231986
367,"68072I","GAEL CHOLAISTE CHILL DARA","Seanbhóthar Luimnigh","Nás na Ríogh","","CONTAE CHILL DARA","Kildare","Mixed","Day","All pupils taught all subjects through Irish","N","CATHOLIC",134,98,288933,219153,288933,219153
368,"68074M","St. Jarlaths College","TUAM","CO GALWAY","","","Galway","Boys","Day","No subjects taught through Irish","N","CATHOLIC",0,527,143928,252069,143928,252069
369,"68075O","MEAN SCOIL NUA AN LEITH TRIUIGH","CAISLEAN GHRIAIRE","CO CHIARRAI","","","Kerry","Mixed","Day","No subjects taught through Irish","N","CATHOLIC",69,68,62250,113343,62250,113343
370,"68077S","Árdscoil na Trionóide","Rathstewart","Athy","Co Kildare","","Kildare","Mixed","Day","No subjects taught through Irish","N","CATHOLIC",411,396,268298,194388,268298,194388
371,"68078U","GAELCHOLAISTE PHORT LAIRGE","Cúirt An Easpag","Baile Mhic Ghunnair","Waterford","","Waterford","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",73,87,258822,109616,258822,109616
372,"68080H","Meanscoil Gharman","Brownswood","Enniscorthy","","","Wexford","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",78,62,298037,136697,298037,136697
373,"68121S","Scoil na Tríonóide Naofa","Doon","Co Limerick","","","Limerick","Mixed","Day","No subjects taught through Irish","N","CATHOLIC",353,305,183420.69,149544.23,183420.68,149544.23
374,"70010V","Balbriggan Community College","Pine Ridge","Chapel St.","Balbriggan","Co Dublin","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",138,381,320082,263889,320082,263889
375,"70020B","Grange Community College","Grange Road","Donaghmede","Dublin 13","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",150,120,322630,240484,322630,240484
376,"70021D","Coláiste de hÍde","Br Thish Motháin Thuaidh","Br Chaisleáin Thigh Mótháin","Tamhlacht","Baile Atha Cliath 24","Dublin","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",164,152,310100,229128,310100,229128
377,"70030E","Senior College Dunlaoghaire","Eblana Avenue","Dun Laoghaire","Co Dublin","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",538,330,324331.29,228601.4,324331.3,228601.4
378,"70040H","Deansrath Community College","New Nangor Road","Clondalkin","Dublin 22","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",254,200,305301,231568,305301,231568
379,"70041J","Collinstown Park Community College","Neilstown Rd.","Rowlagh","Clondalkin","Dublin 22","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",339,344,306878,233512,306878,233512
380,"70042L","St. Kevin's Community College","Fonthill Road","Clondalkin","Dublin 22","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",123,163,306228,234792,306228,234792
381,"70050K","Dún Laoghaire Further Education Institute","Further Education","Cumberland St","Dun Laoghaire","Co Dublin","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",260,420,323763.14,228757.28,323763.14,228757.28
382,"70070Q","College Of Further Education Dundrum","Main Street","Dundrum","Dublin 14","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",193,84,317111.9,228156.5,317111.9,228156.5
383,"70080T","Lucan Community College","Esker Drive","Lucan","Co Dublin","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",386,468,303291,234144,303291,234144
384,"70081V","Colaiste Ghleann na hAbhann","Riversdale Community College","Blanchardstown Road North","Dublin 15","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",187,237,307842,240285,307842,240285
385,"70090W","Sallynoggin College of Further Education","Pearse Street","Sallynoggin","Co Dublin","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",478,232,324209.35,226360.55,324209.34,226360.55
386,"70100W","Coláiste Chilliain","Bóthar Nangor","Cluain Dolcáin","Baile Atha Cliath 22","","Dublin","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",203,197,306493,231559,306493,231559
387,"70110C","Stillorgan College of Further Education","Further Education","Old Dublin Rd","Stillorgan","Co Dublin","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",106,110,320094.27,228267.17,320094.28,228267.16
388,"70120F","St Finians Community College","Swords","Co Dublin","","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",272,344,317958,247576,317958,247576
389,"70121H","Fingal Community College","Seatown Road","Swords","Co Dublin","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",254,282,318490,247084,318490,247084
390,"70130I","Greenhills College","Limekiln Avenue","Greenhills","Dublin 12","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",163,324,310967,229898,310967,229898
391,"70140L","Firhouse Community College","Firhouse Road","Dublin 24","","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",285,423,310206,226342,310206,226342
392,"70141N","Mount Seskin Community College","Jobstown","Tallaght","Dublin 24","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",129,163,306097,226537,306097,226537
393,"70150O","Cabra Community College","Kilkieran Road","Cabra","Dublin 7","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",77,89,313589,236728,313589,236728
